title,price,my,make,model,body_type,battery,kw,range_km,odo
2020 MG ZS EV Essence Auto MY21,45690,2020,MG,ZS EV,SUV,AC105kW,105,263,101
2020 MG ZS EV Essence Auto MY21,45690,2020,MG,ZS EV,SUV,AC105kW,105,263,1450
2020 Nissan LEAF ZE1 Auto,44990,2020,Nissan,LEAF,Hatch,AC110kW,110,270,6816
2020 Nissan LEAF ZE1 Auto,44990,2020,Nissan,LEAF,Hatch,AC110kW,110,270,2351
2020 MG ZS EV Essence Auto MY21,44990,2020,MG,ZS EV,SUV,AC105kW,105,263,11
2020 MG ZS EV Essence Auto MY21,44990,2020,MG,ZS EV,SUV,AC105kW,105,263,1000
2020 MG ZS EV Essence Auto MY21,44990,2020,MG,ZS EV,SUV,AC105kW,105,263,100
2021 MG ZS EV Essence Auto MY21,44990,2021,MG,ZS EV,SUV,AC105kW,105,263,21
2019 Nissan LEAF ZE1 Auto,44965,2019,Nissan,LEAF,Hatch,AC110kW,110,270,5713
2019 Nissan LEAF ZE1 Auto,44965,2019,Nissan,LEAF,Hatch,AC110kW,110,270,5443
2020 Nissan LEAF ZE1 Auto,44888,2020,Nissan,LEAF,Hatch,AC110kW,110,270,1343
2020 MG ZS EV Essence Auto MY21,44590,2020,MG,ZS EV,SUV,AC105kW,105,263,798
2019 Nissan LEAF ZE1 Auto,43990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,1448
2019 Renault Kangoo Maxi Z.E LWB Auto,43990,2019,Renault,Kangoo,Van,AC44kWE,44,200,1802
2018 Nissan LEAF ZE1 Auto,43990,2018,Nissan,LEAF,Hatch,AC110kW,110,270,4622
2020 MG ZS EV Essence Auto MY21,43990,2020,MG,ZS EV,SUV,AC105kW,105,263,60
2020 Nissan LEAF ZE1 Auto,43990,2020,Nissan,LEAF,Hatch,AC110kW,110,270,5358
2021 MG ZS EV Essence Auto MY21,43990,2021,MG,ZS EV,SUV,AC105kW,105,263,1500
2020 MG ZS EV Essence Auto MY21,43990,2020,MG,ZS EV,SUV,AC105kW,105,263,3500
2020 MG ZS EV Essence Auto MY21,43990,2020,MG,ZS EV,SUV,AC105kW,105,263,500
2021 MG ZS EV Essence Auto MY21,43990,2021,MG,ZS EV,SUV,AC105kW,105,263,30
2020 Nissan LEAF ZE1 Auto,43888,2020,Nissan,LEAF,Hatch,AC110kW,110,270,6012
2019 Nissan LEAF ZE1 Auto,43790,2019,Nissan,LEAF,Hatch,AC110kW,110,270,3560
2020 Nissan LEAF ZE1 Auto,43490,2020,Nissan,LEAF,Hatch,AC110kW,110,270,5009
2020 MG ZS EV Essence Auto MY21,43490,2020,MG,ZS EV,SUV,AC105kW,105,263,1280
2020 MG ZS EV Essence Auto MY21,43490,2020,MG,ZS EV,SUV,AC105kW,105,263,736
