title,price,odometer,body,trans,engline,state,seller,state_2,odo_adj,id,seller_ad,state_ad,state_only,price_adj,body_adj,trans_ad,odo_ad,engine_ad
2021 Mazda 3 G20 Evolve BP Series Auto,"$33,663 ",Build date Jun 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Dealer Used Car

","
                QLD - Redlands Mazda
            ",date,33034,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,33663,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Manual,"$33,663 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                QLD - Motorama Browns Plains Mazda
            ",date,33035,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,33663,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Evolve BP Series Auto,"$33,663 ",Build date Jul 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                QLD - Oldmac Mazda Springwood
            ",date,33036,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33663,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Evolve BP Series Auto,"$33,663 ",Build date Jun 2021,Sedan,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                QLD - Motorama Browns Plains Mazda
            ",date,33037,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,33663,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,790 ",Build date Jun 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                QLD - Oldmac Mazda Springwood
            ",date,33044,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33790,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,790 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Dealer Used Car

","
                QLD - Motorama Browns Plains Mazda
            ",date,33045,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,33790,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,790 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                QLD - Sunshine Coast Mazda
            ",date,33046,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33790,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Evolve BP Series Auto,"$33,800 ",Build date Apr 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Artarmon Mazda
            ",date,33047,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33800,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Manual,"$33,887 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                QLD - Sunshine Coast Mazda
            ",date,33053,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,33887,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Manual,"$33,887 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Artarmon Mazda
            ",date,33054,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33887,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,888 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                SA - Paradise Motors Mazda
            ",date,33055,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33888,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,888 ",Build date Jun 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Penrith Mazda
            ",date,33056,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33888,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,921 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33061,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33921,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,921 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33062,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33921,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,988 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33063,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,988 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33064,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,988 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33066,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,988 ",Build date Jul 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33067,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,988 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                SA - City Mazda
            ",date,33068,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,988 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                SA - City Mazda
            ",date,33069,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,SUV,Automatic,0,4cyl 2.0L Petrol
